278 6 5
NTop NFop NCop DDL Nite Nthr 0.5 0.125 0.03125 0.0078125 0.001923125
10511 4004 502 1 500 8 0.000712951 0.000392907 0.000299064 0.000290796 0.00028894 
2 2 0 0 100000 14 0.00394608 0.00178532 0.000782161 0.000706544 0.000703041 
210011 80004 10002 1 10000 12 0.271317 0.129964 0.0522418 0.0479995 0.0486084 
21011 8004 1002 1 1000 2 0.00254662 0.00249266 0.00249377 0.00264582 0.00249003 
68652756 18006000 562878 2 1500 6 9.57597 4.85529 3.35156 3.34676 3.34282 
0 0 0 0 10000000 2 0.225557 0.221306 0.224117 0.227469 0.223356 
105011 40004 5002 1 5000 10 0.0677086 0.030923 0.0170853 0.0145098 0.0143741 
802 300 101 1 100 4 0.00272381 0.00136912 0.00140144 0.00139984 0.00140276 
68652756 18006000 562878 2 1500 14 9.54176 3.47219 1.84819 1.55881 1.55136 
90204 20000 20102 2 1000 14 0.107612 0.0398048 0.0207529 0.0180782 0.0178211 
420011 160004 20002 1 20000 2 0.974375 0.981738 0.978618 0.980455 0.976926 
802 300 101 1 10000 4 0.232407 0.116333 0.116367 0.116328 0.119165 
10511 4004 502 1 500 16 0.00086232 0.000436595 0.000266778 0.000298023 0.000273361 
2 2 0 0 1000 4 5.58301e-05 7.68194e-05 0.000107202 0.000102259 0.000106169 
2 2 0 0 100 6 5.88481e-05 0.000132095 0.000154235 0.000138328 0.00013976 
8 8 0 0 100000 8 0.00441496 0.00194308 0.00106177 0.00110514 0.00103215 
90204 20000 20102 2 5000 2 0.482082 0.482341 0.483143 0.482514 0.482823 
802 300 101 1 1000 16 0.0269413 0.011946 0.00420106 0.00352858 0.00355194 
2 2 0 0 10000 10 0.000529922 0.000277633 0.000258796 0.000261881 0.000255202 
306856 80400 2528 2 100 2 0.0043341 0.00375496 0.00330024 0.00305426 0.00302758 
90204 20000 20102 2 100000 10 11.0762 4.15984 2.7732 2.42999 2.43774 
802 300 101 1 100 6 0.00292614 0.0012157 0.00106681 0.0010581 0.00106116 
802 300 101 1 1000 14 0.0262715 0.0111757 0.00472231 0.00396015 0.00390174 
105011 40004 5002 1 5000 2 0.061194 0.0621347 0.061585 0.0617888 0.0618691 
10511 4004 502 1 500 4 0.000965888 0.000490551 0.000495189 0.000500949 0.000476864 
90204 20000 20102 2 5000 12 0.550192 0.217616 0.107648 0.0994109 0.101611 
